% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 68.93    0.162349          17      9293           read
 13.59    0.031998           2     12356        20 newfstatat
  3.49    0.008221           3      2416        76 openat
  3.10    0.007309           2      2498           getdents64
  2.92    0.006880           2      2955      2520 readlink
  2.29    0.005389           2      2533           close
  1.49    0.003519           4       809           write
  0.92    0.002176           2      1056           pread64
  0.67    0.001587           6       235           mmap
  0.58    0.001377           2       482        22 access
  0.41    0.000976         195         5         2 wait4
  0.37    0.000870           1       550         1 fcntl
  0.17    0.000403         134         3           clone
  0.17    0.000401           2       148       148 symlink
  0.13    0.000309          20        15           perf_event_open
  0.12    0.000288           4        72           mprotect
  0.11    0.000262          18        14           sched_setaffinity
  0.11    0.000253           1       147           dup
  0.08    0.000185           2        83         1 bpf
  0.06    0.000150          75         2           execve
  0.05    0.000123           1        65           lseek
  0.04    0.000083           5        15           munmap
  0.03    0.000065           3        18           brk
  0.02    0.000052           8         6           futex
  0.02    0.000044          44         1           unlink
  0.02    0.000043           1        25           rt_sigprocmask
  0.02    0.000040          40         1           poll
  0.01    0.000031           1        30           rt_sigaction
  0.01    0.000024           1        15         2 ioctl
  0.01    0.000021          21         1           clone3
  0.01    0.000018           4         4           pipe2
  0.01    0.000014           2         7           uname
  0.01    0.000013           2         6           capget
  0.01    0.000012           2         6         4 prctl
  0.00    0.000008           2         3           rt_sigreturn
  0.00    0.000008           2         3           sched_getaffinity
  0.00    0.000007           3         2           statfs
  0.00    0.000004           4         1         1 mkdir
  0.00    0.000004           1         4         2 arch_prctl
  0.00    0.000004           4         1           eventfd2
  0.00    0.000004           1         3           getrandom
  0.00    0.000002           1         2           set_tid_address
  0.00    0.000002           1         2           set_robust_list
  0.00    0.000002           0         5           prlimit64
  0.00    0.000002           1         2           rseq
  0.00    0.000001           1         1           gettid
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         2           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
------ ----------- ----------- --------- --------- ------------------
100.00    0.235533           6     35916      2799 total
